,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1738,Bronchial Asthma, cough, high_fever, breathlessness, family_history
1739,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
1740,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1741,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1742,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1743,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1744,Hypertension , headache, chest_pain, dizziness, lack_of_concentration
1745,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1746,Hypertension , headache, chest_pain, dizziness, loss_of_balance
1747,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
1748,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
1749,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
1750,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1751,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
1752,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
1753,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
1754,Migraine, acidity, indigestion, headache, excessive_hunger
1755,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1756,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1757,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1758,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1759,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
1760,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1761,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1762,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1763,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1764,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
1765,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
1766,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1767,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
1768,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
1769,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
1770,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1771,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1772,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
1773,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
1774,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
1775,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
1776,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
1777,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
1778,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
1779,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
1780,Jaundice,itching, vomiting, fatigue, weight_loss
1781,Jaundice,itching, vomiting, fatigue, weight_loss
1782,Jaundice, vomiting, fatigue, weight_loss, high_fever
1783,Jaundice,itching, fatigue, weight_loss, high_fever
1784,Jaundice,itching, vomiting, weight_loss, high_fever
1785,Jaundice,itching, vomiting, fatigue, high_fever
1786,Jaundice,itching, vomiting, fatigue, weight_loss
1787,Jaundice,itching, vomiting, fatigue, weight_loss
1788,Jaundice,itching, vomiting, fatigue, weight_loss
1789,Jaundice,itching, vomiting, fatigue, weight_loss
1790,Malaria, chills, vomiting, high_fever, sweating
1791,Malaria, chills, vomiting, high_fever, sweating
1792,Malaria, chills, vomiting, high_fever, sweating
1793,Malaria, vomiting, high_fever, sweating, headache
1794,Malaria, chills, high_fever, sweating, headache
1795,Malaria, chills, vomiting, sweating, headache
1796,Malaria, chills, vomiting, high_fever, headache
1797,Malaria, chills, vomiting, high_fever, sweating
1798,Malaria, chills, vomiting, high_fever, sweating
1799,Malaria, chills, vomiting, high_fever, sweating
1800,Chicken pox,itching, skin_rash, fatigue, lethargy
1801,Chicken pox, skin_rash, fatigue, lethargy, high_fever
1802,Chicken pox,itching, fatigue, lethargy, high_fever
1803,Chicken pox,itching, skin_rash, lethargy, high_fever
1804,Chicken pox,itching, skin_rash, fatigue, high_fever
1805,Chicken pox,itching, skin_rash, fatigue, lethargy
1806,Chicken pox,itching, skin_rash, fatigue, lethargy
1807,Chicken pox,itching, skin_rash, fatigue, lethargy
1808,Chicken pox,itching, skin_rash, fatigue, lethargy
1809,Chicken pox,itching, skin_rash, fatigue, lethargy
1810,Dengue, skin_rash, chills, joint_pain, vomiting
1811,Dengue, skin_rash, chills, joint_pain, vomiting
1812,Dengue, skin_rash, chills, joint_pain, vomiting
1813,Dengue, skin_rash, chills, joint_pain, vomiting
1814,Dengue, chills, joint_pain, vomiting, fatigue
1815,Dengue, skin_rash, joint_pain, vomiting, fatigue
1816,Dengue, skin_rash, chills, vomiting, fatigue
1817,Dengue, skin_rash, chills, joint_pain, fatigue
1818,Dengue, skin_rash, chills, joint_pain, vomiting
1819,Dengue, skin_rash, chills, joint_pain, vomiting
1820,Typhoid, chills, vomiting, fatigue, high_fever
1821,Typhoid, chills, vomiting, fatigue, high_fever
1822,Typhoid, chills, vomiting, fatigue, high_fever
1823,Typhoid, chills, vomiting, fatigue, high_fever
1824,Typhoid, chills, vomiting, fatigue, high_fever
1825,Typhoid, chills, vomiting, fatigue, high_fever
1826,Typhoid, chills, vomiting, fatigue, high_fever
1827,Typhoid, chills, vomiting, fatigue, high_fever
1828,Typhoid, chills, vomiting, fatigue, high_fever
1829,Typhoid, chills, fatigue, high_fever, headache
1830,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1831,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1832,hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
1833,hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
1834,hepatitis A, joint_pain, vomiting, dark_urine, nausea
1835,hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
1836,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1837,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1838,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1839,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
1840,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1841,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1842,Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
1843,Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
1844,Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
1845,Hepatitis B,itching, fatigue, lethargy, dark_urine
1846,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1847,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1848,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1849,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
1850,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1851,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1852,Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
1853,Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
1854,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
1855,Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
1856,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1857,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1858,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1859,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
1860,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1861,Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
1862,Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
1863,Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
1864,Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
1865,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1866,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1867,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1868,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1869,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
1870,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1871,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1872,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1873,Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
1874,Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
1875,Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
1876,Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
1877,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1878,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1879,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
1880,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1881,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1882,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1883,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
1884,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
1885,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
1886,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1887,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1888,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1889,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
1890,Tuberculosis, chills, vomiting, fatigue, weight_loss
1891,Tuberculosis, chills, vomiting, fatigue, weight_loss
1892,Tuberculosis, vomiting, fatigue, weight_loss, cough
1893,Tuberculosis, chills, fatigue, weight_loss, cough
1894,Tuberculosis, chills, vomiting, weight_loss, cough
1895,Tuberculosis, chills, vomiting, fatigue, cough
1896,Tuberculosis, chills, vomiting, fatigue, weight_loss
1897,Tuberculosis, chills, vomiting, fatigue, weight_loss
1898,Tuberculosis, chills, vomiting, fatigue, weight_loss
1899,Tuberculosis, chills, vomiting, fatigue, weight_loss
1900,Common Cold, continuous_sneezing, chills, fatigue, cough
1901,Common Cold, continuous_sneezing, chills, fatigue, cough
1902,Common Cold, chills, fatigue, cough, high_fever
1903,Common Cold, continuous_sneezing, fatigue, cough, high_fever
1904,Common Cold, continuous_sneezing, chills, cough, high_fever
1905,Common Cold, continuous_sneezing, chills, fatigue, high_fever
1906,Common Cold, continuous_sneezing, chills, fatigue, cough
1907,Common Cold, continuous_sneezing, chills, fatigue, cough
1908,Common Cold, continuous_sneezing, chills, fatigue, cough
1909,Common Cold, continuous_sneezing, chills, fatigue, cough
1910,Pneumonia, chills, fatigue, cough, high_fever
1911,Pneumonia, chills, fatigue, cough, high_fever
1912,Pneumonia, chills, fatigue, cough, high_fever
1913,Pneumonia, fatigue, cough, high_fever, breathlessness
1914,Pneumonia, chills, cough, high_fever, breathlessness
1915,Pneumonia, chills, fatigue, high_fever, breathlessness
1916,Pneumonia, chills, fatigue, cough, breathlessness
1917,Pneumonia, chills, fatigue, cough, high_fever
1918,Pneumonia, chills, fatigue, cough, high_fever
1919,Pneumonia, chills, fatigue, cough, high_fever
1920,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1921,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1922,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1923,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
1924,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
1925,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
1926,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
1927,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1928,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1929,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
1930,Heart attack, vomiting, breathlessness, sweating, chest_pain
1931,Heart attack, vomiting, breathlessness, sweating, chest_pain
1932,Heart attack, breathlessness, sweating, chest_pain,
1933,Heart attack, vomiting, sweating, chest_pain,
1934,Heart attack, vomiting, breathlessness, chest_pain,
1935,Heart attack, vomiting, breathlessness, sweating,
1936,Heart attack, vomiting, breathlessness, sweating, chest_pain
1937,Heart attack, breathlessness, sweating, chest_pain,
1938,Heart attack, vomiting, sweating, chest_pain,
1939,Heart attack, vomiting, breathlessness, chest_pain,
1940,Varicose veins, fatigue, cramps, bruising, obesity
1941,Varicose veins, fatigue, cramps, bruising, obesity
1942,Varicose veins, cramps, bruising, obesity, swollen_legs
1943,Varicose veins, fatigue, bruising, obesity, swollen_legs
1944,Varicose veins, fatigue, cramps, obesity, swollen_legs
1945,Varicose veins, fatigue, cramps, bruising, swollen_legs
1946,Varicose veins, fatigue, cramps, bruising, obesity
1947,Varicose veins, fatigue, cramps, bruising, obesity
1948,Varicose veins, fatigue, cramps, bruising, obesity
1949,Varicose veins, fatigue, cramps, bruising, obesity
1950,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1951,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1952,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1953,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
1954,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
1955,Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
1956,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
1957,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1958,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1959,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
1960,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1961,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1962,Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
1963,Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
1964,Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
1965,Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
1966,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1967,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1968,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1969,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
1970,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1971,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1972,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1973,Hypoglycemia, fatigue, anxiety, sweating, headache
1974,Hypoglycemia, vomiting, anxiety, sweating, headache
1975,Hypoglycemia, vomiting, fatigue, sweating, headache
1976,Hypoglycemia, vomiting, fatigue, anxiety, headache
1977,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1978,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1979,Hypoglycemia, vomiting, fatigue, anxiety, sweating
1980,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1981,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1982,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
1983,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
1984,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
1985,Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
1986,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1987,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1988,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1989,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
1990,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1991,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1992,Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
1993,Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
1994,Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
1995,Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
1996,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1997,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1998,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
1999,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
2000,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2001,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2002,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
2003,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
2004,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
2005,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
2006,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2007,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2008,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
2009,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
2010,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
2011,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
2012,Acne, pus_filled_pimples, blackheads, scurring,
2013,Acne, skin_rash, blackheads, scurring,
2014,Acne, skin_rash, pus_filled_pimples, scurring,
2015,Acne, skin_rash, pus_filled_pimples, blackheads,
2016,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
2017,Acne, skin_rash, pus_filled_pimples, blackheads,
2018,Acne, skin_rash, pus_filled_pimples, scurring,
2019,Acne, skin_rash, blackheads, scurring,
2020,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2021,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2022,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
2023,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
2024,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
2025,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
2026,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
2027,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
2028,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
2029,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
2030,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
2031,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
2032,Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
2033,Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
2034,Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
2035,Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
2036,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
2037,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
2038,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
2039,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
2040,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
2041,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
2042,Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
2043,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
2044,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
2045,Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
2046,Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
2047,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
2048,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
2049,Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
2050,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
2051,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
2052,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
2053,Fungal infection,itching, skin_rash, dischromic _patches,
2054,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
2055,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
2056,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
2057,Fungal infection,itching, skin_rash, dischromic _patches,
2058,Fungal infection,itching, skin_rash, nodal_skin_eruptions,
2059,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
2060,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
2061,Allergy, shivering, chills, watering_from_eyes,
2062,Allergy, continuous_sneezing, chills, watering_from_eyes,
2063,Allergy, continuous_sneezing, shivering, watering_from_eyes,
2064,Allergy, continuous_sneezing, shivering, chills,
2065,Allergy, shivering, chills, watering_from_eyes,
2066,Allergy, continuous_sneezing, chills, watering_from_eyes,
2067,Allergy, continuous_sneezing, shivering, watering_from_eyes,
2068,Allergy, continuous_sneezing, shivering, chills,
2069,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
2070,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
2071,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
2072,GERD, stomach_pain, acidity, vomiting, cough
2073,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
2074,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
2075,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
2076,GERD, acidity, ulcers_on_tongue, vomiting, cough
2077,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough
2078,GERD, stomach_pain, acidity, vomiting, cough
2079,GERD, stomach_pain, acidity, ulcers_on_tongue, cough
2080,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
2081,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite
2082,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite
2083,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite
2084,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
2085,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
2086,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
2087,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
2088,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
2089,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
2090,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
2091,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
2092,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
2093,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
2094,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
2095,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
2096,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
2097,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
2098,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
2099,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
2100,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
2101,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
2102,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
2103,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
2104,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
2105,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
2106,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
2107,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
2108,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
2109,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
2110,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
2111,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
2112,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
2113,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,
2114,AIDS, muscle_wasting, patches_in_throat, high_fever,
2115,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
2116,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
2117,AIDS, patches_in_throat, high_fever, extra_marital_contacts,
2118,AIDS, muscle_wasting, high_fever, extra_marital_contacts,
2119,AIDS, muscle_wasting, patches_in_throat, high_fever,
2120,Diabetes , fatigue, weight_loss, restlessness, lethargy
2121,Diabetes , fatigue, weight_loss, restlessness, lethargy
2122,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
2123,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
2124,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
2125,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
2126,Diabetes , fatigue, weight_loss, restlessness, lethargy
2127,Diabetes , fatigue, weight_loss, restlessness, lethargy
2128,Diabetes , fatigue, weight_loss, restlessness, lethargy
2129,Diabetes , fatigue, weight_loss, restlessness, lethargy
2130,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
2131,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
2132,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
2133,Gastroenteritis, vomiting, dehydration, diarrhoea,
2134,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
2135,Gastroenteritis, vomiting, sunken_eyes, dehydration,
2136,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
2137,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
2138,Gastroenteritis, vomiting, dehydration, diarrhoea,
2139,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
2140,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
2141,Bronchial Asthma, cough, high_fever, breathlessness, family_history
2142,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
